RANK,NAME,AGE,LOCATION,CATEGORY
1,Pierre Omidyar ,54,United States,Philanthropy
2,Shinzo Abe ,67,Japan,Politics & Policy
3,Peter Thiel ,54,United States,Impact
4,Jamie Dimon ,66,United States,Finance
5,Larry Page ,48,United States,Business & Money
6,Mukesh Ambani ,64,India,Business & Money
7,Jack Dorsey ,45,United States,Technology
8,Richard Branson ,71,United Kingdom,Entrepreneurs
9,Amancio Ortega ,85,Spain,Lifestyle
10,Bill Gates ,65,United States,Philanthropy
11,Warren Buffett ,91,United States,Philanthropy
12,Thomas E. Rothman ,67,United States,Media & Entertainment
13,Reed Hastings ,61,United States,Impact
14,Neil Shen ,54,China,Venture Capital
15,Eric Yuan ,51,United States,Impact
16,Mario Draghi ,74,Italy,Finance
17,Travis Kalanick ,45,United States,Entrepreneurs
18,Scott Morrison ,53,Australia,Politics & Policy
19,Larry Ellison ,77,United States,Business & Money
20,Andrew Bailey ,63,United Kingdom,Finance
21,Sheikh Khalifa bin Zayed Al Nahyan ,73,United Arab Emirates,Lifestyle
22,Azim Premji ,75,India,Philanthropy
23,Bob Iger ,70,United States,Media & Entertainment
24,Robert A. Chapek ,62,United States,Media & Entertainment
25,Andrés Manuel López Obrador ,68,Mexico,Politics & Policy
26,Fred Wilson ,61,United States,Venture Capital
27,Mark Carney ,56,Canada,Finance
28,David Solomon ,60,United States,Finance
29,Joe Biden ,80,United States,Politics & Policy
30,Mark Zuckerberg ,37,United States,Business & Money
31,Jack Ma ,57,China,Business & Money
32,Sundar Pichai ,49,United States,Impact
33,Masayoshi Son ,64,Japan,Technology
34,Jacinda Ardern ,41,New Zealand,Politics & Policy
35,Lachlan Murdoch ,51,United States,Media & Entertainment
36,Larry Fink ,69,United States,Finance
37,Jerome Powell ,68,United States,Finance
38,Ray Dalio ,72,United States,Philanthropy
39,Carlos Slim Helu ,81,Mexico,Business & Money
40,Garrett Camp ,42,Canada,Entrepreneurs
41,Emmanuel Macron ,43,France,Politics & Policy
42,Bernard Arnault ,72,France,Business & Money
43,Justin Trudeau ,49,Canada,Politics & Policy
44,Jim Breyer ,60,United States,Venture Capital
45,John Doerr ,70,United States,Venture Capital
46,Brian Roberts ,62,United States,Media & Entertainment
47,Charles Koch ,86,United States,Philanthropy
48,Li Ka-shing ,93,Hong Kong,Philanthropy
49,Jeff Bezos,58,United States,Business & Money
50,Vladimir Putin ,69,Russia,Politics & Policy
51,Mohammed bin Salman ,36,Saudi Arabia,Lifestyle
52,Robert A. Iger ,70,United States,Media & Entertainment
53,Boris Johnson ,57,United Kingdom,Politics & Policy
54,Brian L. Roberts ,62,United States,Media & Entertainment
55,Reid Hoffman,54,United States,Venture Capital
56,George Soros ,91,United States,Philanthropy
57,Tidjane Thiam ,59,Ivory Coast,Finance
58,David Geffen ,78,United States,Lifestyle
59,Evan Spiegel ,31,United States,Entrepreneurs
60,Elon Musk ,51,United States,Business & Money
61,Brian Chesky ,40,United States,Entrepreneurs
62,Gregory B. Maffei ,61,United States,Media & Entertainment
63,David Sze ,51,United States,Venture Capital
64,James P. Gorman ,63,United States,Media & Entertainment
65,Michael Moritz ,67,United Kingdom,Venture Capital
66,Ted Sarandos ,57,United States,Media & Entertainment
67,Roman Abramovich ,55,Russia,Lifestyle
68,Bill Gurley ,55,United States,Venture Capital
69,Sergey Brin ,48,United States,Business & Money
70,Jim Gianopulos ,70,United States,Media & Entertainment
71,Francoise Bettencourt Meyers ,68,France,Business & Money
72,Michael L. Corbat ,62,United States,Media & Entertainment
73,Jensen Huang ,59,United States,Technology
74,Marc Andreessen ,50,United States,Venture Capital
75,Gordon Moore ,92,United States,Philanthropy
76,Chamath Palihapitiya ,45,United States,Venture Capital
77,Benjamin Netanyahu ,71,Israel,Politics & Policy
78,Stephen Schwarzman ,75,United States,Finance
79,Vinod Khosla ,67,United States,Venture Capital
80,Angela Merkel ,67,Germany,Politics & Policy
81,Dara Khosrowshahi ,52,United States,Entrepreneurs
82,Lloyd Blankfein ,67,United States,Finance
83,Xi Jinping ,69,China,Politics & Policy
84,Tim Cook ,61,United States,Impact
85,Raghuram Rajan ,59,India,Finance
86,Ben Horowitz ,55,United States,Venture Capital
87,Daniel Ek ,38,Sweden,Entrepreneurs
88,Daniel Zhang ,50,China,Impact
89,Narendra Modi ,71,India,Politics & Policy
90,Recep Tayyip Erdogan ,67,Turkey,Politics & Policy
91,Jair Bolsonaro ,66,Brazil,Business & Money
92,Satya Nadella ,53,United States,Impact
93,Brian Armstrong ,38,United States,Entrepreneurs
94,Michael Bloomberg,80,United States,Business & Money